,date,close,high,last day profit,low,ma10,ma20,ma5,next month profit,open,p_change,price_change,stock,trading,trading days,turnover,v_ma10,v_ma20,v_ma5,volume,trading value,trading value rank
3574,2017-04-30,10.1,10.16,-0.0029615004935835275,10.0,9.993,10.227,9.98,-0.050495049504950484,10.1,0.0,0.0,600882.csv,1,5.0,,23841.61,31267.43,17747.52,13599.44,137354.344,5.0
3814,2017-04-30,18.77,18.89,0.01131465517241384,18.43,18.845,20.059,18.36,-0.11774107618540228,18.55,0.97,0.18,600980.csv,1,5.0,,14905.6,19947.0,14376.07,7323.25,137457.4025,6.0
3844,2017-04-30,9.86,9.94,-0.022794846382557032,9.81,10.223,10.382,9.99,0.03955375253549702,9.86,0.1,0.01,600983.csv,1,5.0,,36969.45,33457.82,37472.71,21031.74,207372.9564,17.0
4084,2017-04-30,9.94,9.95,-0.009960159362549766,9.76,10.231,10.736,9.974,-0.14386317907444665,9.84,0.81,0.08,601313.csv,1,5.0,,27128.72,30720.54,24775.0,19123.16,190084.21039999998,12.0
4485,2017-04-30,8.87,8.88,-0.015538290788013382,8.69,9.224,9.619,8.926,-0.10372040586245762,8.72,0.91,0.08,603012.csv,1,5.0,,21650.26,29237.42,22743.24,13673.78,121286.4286,4.0
4605,2017-04-30,12.26,12.31,0.009884678747940629,11.98,13.023,13.653,12.348,-0.17536704730831978,12.15,0.82,0.1,603023.csv,1,5.0,,18192.79,28810.91,22085.25,13128.33,160953.3258,8.0
4813,2017-04-30,48.49,48.99,0.013798871001463594,48.25,47.556,50.327,47.594,-0.5265003093421324,48.6,-0.14,-0.07,603131.csv,1,5.0,,5989.18,9159.86,4860.91,4839.0,234643.11000000002,19.0
5801,2017-04-30,28.19,28.55,-0.02926997245179056,27.7,28.361,29.62,27.976,0.006385242993969482,27.7,0.43,0.12,603918.csv,1,5.0,,9918.83,10459.44,10015.07,8327.12,234741.51280000003,20.0
5861,2017-04-30,25.32,25.4,-0.00432559968541091,24.93,25.846,27.14,25.032,-0.027251184834123268,25.0,0.68,0.17,603936.csv,1,5.0,,8861.99,9822.01,9332.04,7798.1,197447.89200000002,13.0
5891,2017-04-30,23.58,23.82,0.01945525291828791,23.2,23.468000000000004,24.613000000000003,23.034,-0.2832909245122986,23.4,0.81,0.19,603959.csv,1,5.0,,11649.01,14956.42,10868.71,8627.3,203431.73399999997,15.0
1057,2017-12-31,7.7,7.73,-0.010282776349614406,7.63,7.768,7.8889999999999985,7.6560000000000015,-0.18701298701298705,7.72,-0.13,-0.01,600232.csv,1,5.0,,11964.31,17282.53,11753.4,11475.01,88357.577,13.0
1087,2017-12-31,6.56,6.58,-0.0060606060606060675,6.48,6.593,6.704,6.4620000000000015,-0.05640243902439013,6.5,0.77,0.05,600235.csv,1,5.0,,19012.86,16292.47,25940.81,12870.72,84431.92319999999,11.0
1626,2017-12-31,5.11,5.14,-0.01730769230769228,5.08,5.2,5.276,5.142,-0.009784735812133209,5.08,-0.2,-0.01,600386.csv,1,5.0,,15024.04,19539.91,16815.44,14469.82,73940.78020000001,9.0
1716,2017-12-31,4.68,4.68,-0.00847457627118645,4.63,4.667,4.697,4.6160000000000005,-0.01709401709401711,4.67,0.86,0.04,600403.csv,1,5.0,,21528.85,16722.15,16361.7,9981.46,46713.23279999999,3.0
1926,2017-12-31,36.18,36.75,0.011744966442953069,35.2,37.176,37.675,36.644,-0.08540630182421217,36.75,-0.77,-0.28,600455.csv,1,5.0,,2170.43,1924.3,1582.01,2522.97,91281.05459999999,15.0
2783,2017-12-31,16.95,16.98,-0.005865102639296271,16.8,17.073,17.28,16.892,0.010619469026548657,16.84,0.24,0.04,600639.csv,1,5.0,,8197.03,12273.2,8966.46,5860.11,99328.8645,19.0
3042,2017-12-31,7.84,7.88,-0.007594936708860822,7.78,8.017999999999999,8.182,7.8820000000000014,-0.07908163265306124,7.88,0.64,0.05,600712.csv,1,5.0,,12804.56,18627.06,10231.06,7979.31,62557.790400000005,6.0
3072,2017-12-31,6.22,6.31,-0.012698412698412709,6.17,6.44,6.412000000000001,6.306,-0.05305466237942123,6.2,-0.16,-0.01,600719.csv,1,5.0,,27894.98,24420.49,29183.08,14371.0,89387.62,14.0
3372,2017-12-31,12.85,12.93,0.003906249999999917,12.57,12.578,12.363,12.672,-0.17821011673151746,12.7,1.66,0.21,600817.csv,1,5.0,,5141.93,4963.25,4934.1,4460.1,57312.285,4.0
3582,2017-12-31,9.14,9.17,-0.0065217391304346435,9.02,9.128,9.077,9.152,-0.013129102844639058,9.04,3.75,0.33,600882.csv,1,5.0,,7074.92,7521.31,5680.49,6552.56,59890.398400000005,5.0
3852,2017-12-31,7.22,7.22,-0.034759358288770144,7.13,7.218,7.193,7.192,-0.01939058171745148,7.16,0.84,0.06,600983.csv,1,5.0,,9562.59,12235.4,7978.55,5745.0,41478.9,1.0
4002,2017-12-31,5.64,5.64,-0.008787346221441249,5.59,5.626,5.587999999999999,5.636,-0.024822695035460942,5.6,0.54,0.03,601199.csv,1,5.0,,33091.73,28672.1,29700.92,15375.49,86717.76359999999,12.0
4493,2017-12-31,7.47,7.47,-0.0013368983957220153,7.32,7.536,7.5870000000000015,7.3820000000000014,-0.03614457831325296,7.43,0.67,0.05,603012.csv,1,5.0,,14325.4,21680.77,11132.6,11170.98,83447.2206,10.0
4583,2017-12-31,12.25,12.3,-0.00970088924818102,12.21,12.273,12.322,12.31,-0.014693877551020385,12.28,0.08,0.01,603022.csv,1,5.0,,8075.94,8253.38,10577.68,5367.38,65750.405,7.0
4941,2017-12-31,13.84,13.86,-0.038220986796386434,13.53,14.126,14.415,13.708,0.05563583815028899,13.53,1.92,0.26,603315.csv,1,5.0,,5416.46,5702.5,7176.51,7190.21,99512.5064,20.0
5119,2017-12-31,15.78,15.85,-0.0062972292191436656,15.39,15.472,15.598,15.56,-0.0570342205323193,15.6,0.96,0.15,603398.csv,1,5.0,,5627.6,5430.1,7222.39,6131.2,96750.336,17.0
5389,2017-12-31,39.04,39.3,-0.00025608194622274037,38.63,39.153,39.18,39.004,-0.0197233606557376,38.89,0.31,0.12,603696.csv,1,5.0,,1263.9,1126.5,1123.4,1100.0,42944.0,2.0
5449,2017-12-31,30.45,30.48,-0.007496740547588018,30.03,30.129,30.352,29.954,0.04039408866995076,30.2,0.66,0.2,603726.csv,1,5.0,,3762.28,3760.28,4242.54,3213.91,97863.55949999999,18.0
5779,2017-12-31,8.8,8.82,-0.01895206243032329,8.66,8.774,8.943,8.69,-0.03409090909090917,8.7,1.15,0.1,603901.csv,1,5.0,,10613.83,9794.63,12072.89,10985.0,96668.00000000001,16.0
5809,2017-12-31,17.9,17.91,-0.008310249307479345,17.74,18.462,18.735,17.964000000000006,-0.07374301675977656,17.8,0.56,0.1,603918.csv,1,5.0,,8788.3,7230.56,6717.56,3754.06,67197.674,8.0
378,2018-09-30,3.56,3.56,0.025936599423631083,3.53,3.511,3.54,3.54,0.014044943820224668,3.53,1.14,0.04,600091.csv,1,4.0,,6175.87,6529.74,6842.89,9147.0,32563.32,9.0
1096,2018-09-30,4.53,4.58,0.03189066059225526,4.49,4.522,4.557,4.556,-0.09713024282560714,4.49,0.22,0.01,600235.csv,1,4.0,,13704.94,12790.59,12862.49,8978.43,40672.2879,12.0
1246,2018-09-30,3.84,3.86,0.018567639257294388,3.82,3.887,3.849,3.88,-0.03645833333333325,3.82,0.52,0.02,600310.csv,1,4.0,,19411.1,17404.34,18690.26,12339.71,47384.486399999994,17.0
1336,2018-09-30,1.75,1.75,0.02941176470588238,1.71,1.7480000000000002,1.7819999999999998,1.7519999999999998,-0.01142857142857144,1.72,1.74,0.03,600321.csv,1,4.0,,22161.43,28795.29,20018.23,18442.01,32273.517499999998,8.0
1605,2018-09-30,9.43,9.43,0.04198895027624298,9.18,9.274,9.478,9.328,0.06574761399787922,9.25,2.28,0.21,600385.csv,1,4.0,,4849.28,3985.65,5270.19,3411.05,32166.2015,7.0
1635,2018-09-30,3.47,3.5,0.029673590504451064,3.46,3.477,3.513,3.498,-0.11815561959654182,3.46,0.0,0.0,600386.csv,1,4.0,,18426.03,17363.32,17680.04,15169.7,52638.859000000004,18.0
1725,2018-09-30,4.23,4.26,0.014388489208633212,4.21,4.204,4.216,4.24,-0.1063829787234044,4.21,0.47,0.02,600403.csv,1,4.0,,19056.81,19834.23,19561.82,13039.0,55154.97000000001,19.0
1935,2018-09-30,22.58,22.78,0.06710775047258971,22.22,22.428,22.438,22.626,0.029229406554472995,22.22,0.22,0.05,600455.csv,1,4.0,,3206.39,3434.9,3214.18,1732.64,39123.0112,11.0
2295,2018-09-30,6.31,6.4,0.009599999999999937,6.19,6.063,6.016,6.1720000000000015,-0.031695721077654414,6.24,0.96,0.06,600539.csv,1,4.0,,4300.51,3463.36,5636.22,7011.01,44239.473099999996,14.0
2437,2018-09-30,3.07,3.07,0.01655629139072842,3.02,3.022,3.034,3.048,0.10097719869706842,3.03,1.66,0.05,600556.csv,1,4.0,,15025.62,16643.34,13438.0,9982.0,30644.739999999998,4.0
2677,2018-09-30,10.92,10.98,0.0844091360476663,10.82,11.101,11.087,11.118,-0.07326007326007332,10.98,1.02,0.11,600599.csv,1,4.0,,5874.23,6176.63,6467.84,4052.53,44253.6276,15.0
3141,2018-09-30,9.72,9.78,0.03735325506937048,9.6,9.391,9.217,9.544,-0.056584362139917764,9.61,0.41,0.04,600749.csv,1,4.0,,4055.41,4172.2,5419.19,3304.0,32114.88,6.0
3381,2018-09-30,6.72,6.72,0.032258064516129024,6.6,6.613,6.669,6.686,-0.029761904761904788,6.69,1.66,0.11,600817.csv,1,4.0,,2592.1,3219.34,2475.32,2501.41,16809.475199999997,1.0
3531,2018-09-30,2.3,2.3,0.02678571428571411,2.26,2.286,2.342,2.3040000000000003,0.013043478260869674,2.27,1.32,0.03,600870.csv,1,4.0,,17546.32,21114.4,16703.03,14311.1,32915.53,10.0
3591,2018-09-30,7.82,7.9,0.011642949547218609,7.6,8.057,8.109,7.966,-0.0217391304347826,7.9,-1.01,-0.08,600882.csv,1,4.0,,6778.05,7298.56,2633.56,3462.5,27076.75,2.0
4532,2018-09-30,9.33,9.4,0.02753303964757709,9.28,9.412,9.63,9.438,-0.08360128617363337,9.36,0.54,0.05,603017.csv,1,4.0,,7692.19,14600.81,5949.38,4965.0,46323.45,16.0
4592,2018-09-30,8.13,8.16,0.02264150943396234,8.07,8.195,8.215,8.184,-0.14391143911439122,8.14,0.74,0.06,603022.csv,1,4.0,,9513.58,13847.35,7852.09,3858.74,31371.556200000003,5.0
4622,2018-09-30,5.72,5.77,0.05340699815837938,5.63,5.699,5.704,5.728,-0.14860139860139854,5.63,0.35,0.02,603023.csv,1,4.0,,6612.11,7651.9,6792.62,7155.09,40927.114799999996,13.0
4830,2018-09-30,13.21,13.31,0.022445820433436604,13.01,13.115,13.303,13.198,0.031037093111279213,13.31,1.15,0.15,603131.csv,1,4.0,,2949.74,3172.52,2687.68,2212.0,29220.52,3.0
4920,2018-09-30,10.57,10.59,0.031219512195121982,10.48,10.529000000000002,10.46,10.612,-0.12109744560075696,10.5,0.76,0.08,603308.csv,1,4.0,,12761.58,13116.93,10995.98,5386.01,56930.125700000004,20.0
384,2019-03-31,4.25,4.28,-0.027459954233409637,4.12,4.277,4.204,4.298,-0.03999999999999998,4.19,2.16,0.09,600091.csv,1,5.0,,36067.08,36879.81,36916.35,32020.68,136087.89,5.0
564,2019-03-31,3.67,3.67,-0.021333333333333357,3.52,3.623,3.568,3.596,-0.01634877384196187,3.58,2.51,0.09,600127.csv,1,5.0,,88103.93,95420.01,81489.42,67248.45,246801.81149999998,17.0
1611,2019-03-31,9.75,9.92,-0.09133271202236724,9.38,10.505999999999998,10.539,10.19,-0.121025641025641,9.81,-0.71,-0.07,600385.csv,1,5.0,,23229.02,25916.18,21798.94,24766.77,241476.0075,16.0
1731,2019-03-31,4.52,4.53,-0.062240663900415084,4.36,4.49,4.428,4.482,-0.057522123893805274,4.36,3.2,0.14,600403.csv,1,5.0,,62297.92,66403.64,56165.12,59085.15,267064.87799999997,20.0
1821,2019-03-31,5.87,5.9,-0.02003338898163608,5.71,5.885,5.807,5.814,-0.03747870528109025,5.75,2.09,0.12,600429.csv,1,5.0,,41437.84,46342.36,39731.6,32485.14,190687.7718,11.0
2301,2019-03-31,7.39,7.48,-0.03145478374836176,7.28,7.461,7.2570000000000014,7.536,0.010825439783491214,7.41,-0.27,-0.02,600539.csv,1,5.0,,19407.76,17244.87,22138.1,22199.13,164051.5707,7.0
3057,2019-03-31,4.75,4.76,-0.020618556701030855,4.57,4.807,4.686,4.702,0.1852631578947368,4.74,1.5,0.07,600712.csv,1,5.0,,77384.65,82685.98,67320.85,44030.22,209143.545,13.0
3087,2019-03-31,5.49,5.52,-0.030035335689045924,5.38,5.542000000000002,5.417999999999998,5.454,0.04189435336976312,5.43,1.1,0.06,600719.csv,1,5.0,,40358.56,59035.12,39778.53,31933.02,175312.27980000002,8.0
3267,2019-03-31,11.11,11.15,-0.06323777403035412,10.81,11.314,11.307,11.186,-0.04950495049504941,10.9,1.83,0.2,600768.csv,1,5.0,,15566.79,26499.14,15113.04,12417.86,137962.4246,6.0
3387,2019-03-31,8.6,8.64,-0.029345372460496587,8.35,8.568999999999999,8.314,8.638,-0.020930232558139503,8.46,1.77,0.15,600817.csv,1,5.0,,15720.11,16142.53,14454.47,11391.0,97962.59999999999,1.0
3537,2019-03-31,3.63,3.69,-0.013586956521739205,3.55,3.784,3.663,3.72,-0.1487603305785124,3.66,0.28,0.01,600870.csv,1,5.0,,37490.05,40757.67,32769.47,29863.89,108405.92069999999,3.0
3597,2019-03-31,9.49,9.55,-0.0306435137895811,9.4,9.362,8.994,9.456,0.18229715489989468,9.45,-0.21,-0.02,600882.csv,1,5.0,,19998.84,26680.34,18450.39,13638.92,129433.3508,4.0
4568,2019-03-31,8.99,9.02,-0.03437164339419981,8.75,9.026,8.899,9.022,-0.05116796440489442,8.8,1.93,0.17,603020.csv,1,5.0,,39188.26,44520.7,31693.98,24016.0,215903.84,14.0
4598,2019-03-31,9.41,9.46,-0.015690376569037694,9.09,10.159,9.974,9.468,-0.11264612114771524,9.28,1.51,0.14,603022.csv,1,5.0,,48937.19,56590.24,56380.26,27354.93,257409.89130000002,18.0
4628,2019-03-31,5.96,5.99,-0.03559870550161808,5.8,5.983,6.002000000000002,5.904,-0.04362416107382547,5.82,2.4,0.14,603023.csv,1,5.0,,20158.65,40467.89,17449.07,17267.01,102911.37959999999,2.0
4718,2019-03-31,16.23,16.26,-0.029886431560071727,15.7,15.985,15.803,16.067999999999998,-0.09118915588416517,16.08,1.06,0.17,603029.csv,1,5.0,,15605.96,18742.26,16565.27,16377.46,265806.17579999997,19.0
5284,2019-03-31,8.92,8.97,-0.06986444212721585,8.75,8.935,8.911,8.87,0.020179372197309385,8.87,1.25,0.11,603601.csv,1,5.0,,24858.29,31145.26,22316.01,19818.64,176782.2688,9.0
5524,2019-03-31,14.46,14.46,-0.014314928425357809,14.1,14.555,14.356,14.394,-0.044951590594744135,14.1,2.55,0.36,603779.csv,1,5.0,,21348.51,22752.28,17405.58,13229.05,191292.063,12.0
5704,2019-03-31,30.06,30.14,-0.024342745861733205,29.28,30.412,30.837,29.768,-0.13606121091151033,29.8,1.86,0.55,603822.csv,1,5.0,,7771.25,12610.83,6838.31,6222.92,187060.9752,10.0
5794,2019-03-31,8.07,8.08,-0.028880866425992805,7.61,8.131,8.09,8.05,-0.07558859975216856,7.87,2.8,0.22,603901.csv,1,5.0,,38621.87,55003.72,35247.43,28634.37,231079.3659,15.0
387,2019-06-30,3.8,3.86,-0.01808785529715769,3.75,3.777,3.749,3.836,-0.02631578947368412,3.84,-1.55,-0.06,600091.csv,1,5.0,,12734.39,12452.86,11960.56,10961.0,41651.799999999996,2.0
775,2019-06-30,4.28,4.33,-0.022831050228310418,4.25,4.28,4.288,4.302,-0.0046728971962617894,4.33,-0.23,-0.01,600173.csv,1,5.0,,38336.29,32555.2,29349.17,24627.0,105403.56000000001,12.0
1345,2019-06-30,1.93,1.97,-0.015306122448979604,1.92,1.947,1.919,1.962,-0.06217616580310875,1.96,-2.03,-0.04,600321.csv,1,5.0,,47209.28,51141.47,43497.19,40793.0,78730.48999999999,7.0
1464,2019-06-30,4.38,4.47,-0.006802721088435429,4.34,4.414,4.317,4.464,-0.07990867579908667,4.47,-2.23,-0.1,600358.csv,1,5.0,,30338.93,28293.24,31487.92,29313.52,128393.2176,17.0
1614,2019-06-30,8.0,8.23,-0.013563501849568366,7.95,7.994,7.917999999999998,8.096,-0.05125000000000002,8.15,-1.84,-0.15,600385.csv,1,5.0,,5534.91,4426.73,6627.2,9712.0,77696.0,6.0
1734,2019-06-30,3.93,3.94,-0.015037593984962419,3.83,3.912,3.93,3.944,-0.025445292620865163,3.94,0.0,0.0,600403.csv,1,5.0,,17218.7,25557.69,19077.4,26812.0,105371.16,11.0
2304,2019-06-30,6.21,6.4,-0.012718600953895084,6.11,6.3610000000000015,6.297999999999999,6.39,0.01932367149758456,6.38,-2.67,-0.17,600539.csv,1,5.0,,8196.73,8371.4,7040.02,8989.01,55821.7521,3.0
2392,2019-06-30,9.07,9.31,-0.029946524064171056,9.04,9.217,9.15,9.262,-0.015435501653803809,9.3,-2.37,-0.22,600551.csv,1,5.0,,12233.43,11244.24,13176.94,14628.0,132675.96,18.0
2596,2019-06-30,4.48,4.59,-0.0218340611353711,4.47,4.51,4.436,4.552,-0.05357142857142862,4.59,-2.18,-0.1,600576.csv,1,5.0,,32004.45,24557.78,25377.52,21186.0,94913.28000000001,10.0
3390,2019-06-30,8.17,8.32,-0.008495145631067996,8.13,8.206,8.022,8.292,-0.042839657282741694,8.31,-1.57,-0.13,600817.csv,1,5.0,,8200.55,6613.7,9451.91,3634.0,29689.78,1.0
3420,2019-06-30,7.07,7.27,-0.024827586206896516,7.0,7.082000000000002,6.98,7.134,-0.0608203677510609,7.27,-2.08,-0.15,600829.csv,1,5.0,,16028.75,15783.53,15117.68,17880.66,126416.2662,15.0
3540,2019-06-30,3.19,3.2,-0.02743902439024386,3.07,3.022,3.02,3.1,0.009404388714733621,3.12,1.92,0.06,600870.csv,1,5.0,,45893.1,56159.59,40350.33,20014.69,63846.861099999995,4.0
4631,2019-06-30,4.55,4.67,-0.02150537634408613,4.5,4.542,4.8610000000000015,4.63,-0.04175824175824165,4.62,-1.94,-0.09,603023.csv,1,5.0,,22249.73,20787.39,19329.53,20075.71,91344.48049999999,9.0
4721,2019-06-30,14.75,15.04,-0.014696058784235178,14.58,14.78,14.393,15.104,-0.006101694915254228,15.01,-1.67,-0.25,603029.csv,1,5.0,,16430.41,11653.35,15657.7,8674.88,127954.47999999998,16.0
4751,2019-06-30,6.96,7.15,-0.012765957446808493,6.91,7.082999999999998,7.1789999999999985,7.084,-0.1264367816091954,7.1,-2.11,-0.15,603101.csv,1,5.0,,32982.29,47340.44,21137.71,17671.4,122992.944,14.0
4899,2019-06-30,13.21,13.58,-0.03787327021121628,13.0,13.581,13.703,13.584,0.05677517032551097,13.48,-2.8,-0.38,603306.csv,1,5.0,,7013.33,8041.26,6847.82,8601.1,113620.53100000002,13.0
5467,2019-06-30,11.98,12.28,-0.017227235438884256,11.91,14.228,15.687,12.284,-0.04924874791318863,12.25,-2.2,-0.27,603726.csv,1,5.0,,17692.45,14389.46,14230.66,11126.52,133295.7096,19.0
5557,2019-06-30,13.58,13.92,-0.01451378809869371,13.55,13.794,13.855,13.774,0.014727540500736325,13.85,-2.23,-0.31,603788.csv,1,5.0,,11474.21,9085.41,9469.51,6080.6,82574.54800000001,8.0
5707,2019-06-30,24.07,24.99,-0.03873801916932903,24.0,24.652,24.209,24.82,0.027420024927295398,24.53,-2.15,-0.53,603822.csv,1,5.0,,5334.01,6150.44,4960.22,5647.0,135923.29,20.0
5767,2019-06-30,16.54,16.75,-0.023036030714707653,16.41,16.554000000000002,16.327,16.692,0.02055622732769044,16.63,-1.02,-0.17,603898.csv,1,5.0,,6996.58,6942.89,6409.21,4225.73,69893.57419999999,5.0
